UserID,Date ,TimeOnPark,Parks 
836,27/11/2020,2.2,3
836,28/11/2020,6.8,1
836,29/11/2020,3.5,3
836,30/11/2020,2.6,1
836,01/12/2020,2.7,3
836,02/12/2020,4.4,1
836,03/12/2020,6.9,2
836,04/12/2020,2.1,3
836,05/12/2020,6.3,3
836,06/12/2020,3.6,3
836,07/12/2020,2.3,1
836,08/12/2020,1,3
836,09/12/2020,3.1,3
836,11/12/2020,2,3
836,12/12/2020,3.3,3
836,13/12/2020,2.6,2
836,14/12/2020,3.5,1
836,15/12/2020,6.3,4
836,16/12/2020,3.5,3
836,17/12/2020,3.1,1
836,18/12/2020,4,3
836,19/12/2020,4,2
836,20/12/2020,4.7,1
836,21/12/2020,5.7,2
836,23/12/2020,6.7,3
836,24/12/2020,1.6,1
836,25/12/2020,4.6,2
836,26/12/2020,5,2
836,27/12/2020,3,1
836,28/12/2020,3.7,1
836,29/12/2020,6.5,1
836,30/12/2020,6.5,2
836,31/12/2020,6.2,3
836,01/01/2021,1.5,3
836,02/01/2021,6.5,1
836,03/01/2021,1.6,2
836,04/01/2021,5.3,3
836,05/01/2021,10.0,4
836,06/01/2021,13.0,5
836,07/01/2021,11.0,5
836,08/01/2021,14.0,5
836,09/01/2021,10.0,4
836,11/01/2021,12.0,4
836,12/01/2021,14.0,4
836,13/01/2021,14.0,5
836,14/01/2021,10.0,4
836,15/01/2021,13.0,4
836,16/01/2021,11.0,6
836,17/01/2021,12.0,4
836,18/01/2021,13.0,4
1070,27/11/2020,2.1,1
1070,28/11/2020,4,2
1070,29/11/2020,4.8,2
1070,30/11/2020,2.1,1
1070,01/12/2020,2.8,3
1070,02/12/2020,3.7,2
1070,03/12/2020,3.1,1
1070,04/12/2020,3.3,3
1070,05/12/2020,5.9,1
1070,06/12/2020,5.6,4
1070,07/12/2020,6,1
1070,08/12/2020,1.3,1
1070,09/12/2020,4.8,2
1070,10/12/2020,4.1,2
1070,11/12/2020,6.2,3
1070,12/12/2020,2.9,1
1070,13/12/2020,6.5,2
1070,16/12/2020,4.2,1
1070,17/12/2020,3,2
1070,18/12/2020,2,1
1070,19/12/2020,5.2,1
1070,21/12/2020,1.9,3
1070,22/12/2020,5.7,3
1070,23/12/2020,3.3,3
1070,24/12/2020,3.4,3
1070,25/12/2020,5.1,2
1070,26/12/2020,5.3,1
1070,27/12/2020,4.5,2
1070,28/12/2020,5.6,2
1070,29/12/2020,6.6,3
1070,30/12/2020,1.8,2
1070,31/12/2020,1.8,2
1070,01/01/2021,5.8,2
1070,02/01/2021,3.7,2
1070,03/01/2021,2.3,3
1070,04/01/2021,1,2
1070,05/01/2021,8.1,1
1070,06/01/2021,8.5,4
1070,07/01/2021,8.8,1
1070,08/01/2021,3.5,1
1070,09/01/2021,7.6,2
1070,10/01/2021,6.5,2
1070,11/01/2021,8.4,3
1070,12/01/2021,5.4,1
1070,13/01/2021,8.7,2
1070,16/01/2021,6.5,1
1070,17/01/2021,5.6,2
1070,18/01/2021,4.5,1
1390,28/11/2020,5,3
1390,29/11/2020,1.2,2
1390,30/11/2020,1.8,3
1390,01/12/2020,4.7,2
1390,02/12/2020,6.9,1
1390,04/12/2020,4.9,2
1390,05/12/2020,2.1,4
1390,06/12/2020,4.8,2
1390,07/12/2020,5.5,1
1390,08/12/2020,1.4,4
1390,09/12/2020,5.7,4
1390,10/12/2020,3,4
1390,11/12/2020,4.1,3
1390,12/12/2020,1.1,1
1390,13/12/2020,1.9,3
1390,14/12/2020,2.7,2
1390,15/12/2020,5.3,2
1390,16/12/2020,2.6,3
1390,17/12/2020,1,1
1390,18/12/2020,5.5,3
1390,19/12/2020,4.4,3
1390,20/12/2020,6.7,2
1390,21/12/2020,1.8,2
1390,22/12/2020,4.1,4
1390,23/12/2020,1.3,2
1390,24/12/2020,4.7,2
1390,25/12/2020,1.6,2
1390,26/12/2020,6,4
1390,27/12/2020,4.8,2
1390,29/12/2020,4.3,3
1390,30/12/2020,1,4
1390,31/12/2020,1.5,1
1390,01/01/2021,6.1,3
1390,02/01/2021,4,2
1390,03/01/2021,2.6,1
1390,04/01/2021,3.3,2
1390,05/01/2021,4.9,4
1390,06/01/2021,7.2,2
1390,07/01/2021,7.5,1
1390,08/01/2021,3.8,4
1390,09/01/2021,7.8,4
1390,10/01/2021,5.7,4
1390,11/01/2021,6.5,3
1390,12/01/2021,3.2,1
1390,13/01/2021,4.7,3
1390,14/01/2021,5.4,2
1390,15/01/2021,7.4,2
1390,16/01/2021,4.7,3
1390,17/01/2021,3.8,1
1390,18/01/2021,8.2,3
2970,27/11/2020,6.1,1
2970,28/11/2020,3.8,2
2970,29/11/2020,6.7,3
2970,30/11/2020,6.8,3
2970,01/12/2020,6.9,2
2970,02/12/2020,5.5,1
2970,03/12/2020,5.5,3
2970,04/12/2020,5.4,2
2970,05/12/2020,4.6,3
2970,06/12/2020,2.4,3
2970,07/12/2020,2.4,2
2970,08/12/2020,3.4,1
2970,09/12/2020,3.2,1
2970,10/12/2020,2.1,3
2970,11/12/2020,5.2,4
2970,12/12/2020,3.3,1
2970,14/12/2020,4.2,4
2970,15/12/2020,5.9,1
2970,16/12/2020,3.4,3
2970,17/12/2020,3.3,1
2970,18/12/2020,5.9,3
2970,19/12/2020,5,1
2970,20/12/2020,4.1,2
2970,21/12/2020,3.9,2
2970,22/12/2020,3.8,3
2970,23/12/2020,5,2
2970,24/12/2020,2.3,1
2970,25/12/2020,1.1,1
2970,26/12/2020,1.2,3
2970,27/12/2020,6.5,2
2970,28/12/2020,3.9,3
2970,29/12/2020,5.1,1
2970,30/12/2020,1.4,2
2970,31/12/2020,2.8,1
2970,01/01/2021,6.5,3
2970,02/01/2021,5,3
2970,03/01/2021,2.3,2
2970,04/01/2021,2.3,3
2970,05/01/2021,7.5,3
2970,06/01/2021,5.1,3
2970,07/01/2021,4.8,2
2970,08/01/2021,6.3,1
2970,09/01/2021,5.8,1
2970,10/01/2021,4.2,3
2970,11/01/2021,7.2,4
2970,12/01/2021,5.7,1
2970,14/01/2021,6.5,4
2970,15/01/2021,8.3,1
2970,16/01/2021,6.1,3
2970,17/01/2021,5.3,1
2970,18/01/2021,8.3,3
3479,27/11/2020,3.2,2
3479,28/11/2020,2.4,2
3479,29/11/2020,4.5,1
3479,30/11/2020,2.9,3
3479,01/12/2020,3.2,2
3479,02/12/2020,6.5,2
3479,03/12/2020,6.9,3
3479,05/12/2020,3.4,3
3479,06/12/2020,1.2,2
3479,07/12/2020,1.7,1
3479,08/12/2020,1.2,2
3479,09/12/2020,4.5,4
3479,10/12/2020,1.7,1
3479,11/12/2020,3,2
3479,12/12/2020,1.8,3
3479,13/12/2020,3.7,1
3479,14/12/2020,3.5,2
3479,15/12/2020,3.3,1
3479,16/12/2020,2.5,2
3479,17/12/2020,2.6,3
3479,18/12/2020,1.8,1
3479,20/12/2020,1.2,2
3479,21/12/2020,2.7,3
3479,22/12/2020,1.1,1
3479,23/12/2020,4.6,1
3479,24/12/2020,6.3,1
3479,25/12/2020,4.3,1
3479,26/12/2020,2.1,2
3479,27/12/2020,3.6,2
3479,28/12/2020,6.8,1
3479,29/12/2020,5.6,1
3479,30/12/2020,5.4,1
3479,31/12/2020,5.8,2
3479,01/01/2021,4.5,1
3479,02/01/2021,3.1,3
3479,03/01/2021,4,3
3479,04/01/2021,6.3,2
3479,05/01/2021,6,3
3479,06/01/2021,3.3,2
3479,07/01/2021,3.9,1
3479,08/01/2021,3.5,2
3479,09/01/2021,6.9,4
3479,10/01/2021,4.4,1
3479,11/01/2021,5.7,2
3479,12/01/2021,4.3,3
3479,13/01/2021,5.8,1
3479,14/01/2021,6,2
3479,15/01/2021,6.2,1
3479,16/01/2021,4.9,2
3479,17/01/2021,4.6,3
3479,18/01/2021,4.7,1
3646,27/11/2020,6.5,1
3646,28/11/2020,2.6,3
3646,29/11/2020,5.9,3
3646,30/11/2020,6.2,3
3646,01/12/2020,4.4,2
3646,02/12/2020,5.2,3
3646,03/12/2020,5.9,2
3646,04/12/2020,6.4,3
3646,05/12/2020,6.8,3
3646,06/12/2020,6.5,2
3646,07/12/2020,1,2
3646,08/12/2020,5.8,2
3646,10/12/2020,6.5,3
3646,11/12/2020,6.2,3
3646,12/12/2020,3.9,2
3646,13/12/2020,3.7,2
3646,14/12/2020,5.4,1
3646,15/12/2020,1.1,2
3646,16/12/2020,4.3,2
3646,17/12/2020,3.2,2
3646,18/12/2020,1.3,2
3646,19/12/2020,3.4,3
3646,20/12/2020,1.2,2
3646,21/12/2020,3.9,2
3646,22/12/2020,1.8,4
3646,23/12/2020,2.8,4
3646,24/12/2020,4.6,3
3646,25/12/2020,6,1
3646,26/12/2020,1.8,1
3646,27/12/2020,3.8,3
3646,28/12/2020,5.5,3
3646,30/12/2020,2.6,3
3646,31/12/2020,4.9,3
3646,01/01/2021,3.4,2
3646,02/01/2021,5.5,3
3646,03/01/2021,3.3,1
3646,04/01/2021,2.9,1
3646,05/01/2021,8.9,3
3646,06/01/2021,8.8,2
3646,07/01/2021,3.1,2
3646,08/01/2021,8.5,2
3646,10/01/2021,8.7,3
3646,11/01/2021,8.4,3
3646,12/01/2021,6.3,2
3646,13/01/2021,6.6,2
3646,14/01/2021,8.3,1
3646,15/01/2021,3.2,2
3646,16/01/2021,6.5,2
3646,17/01/2021,6,2
3646,18/01/2021,3.6,2
4278,27/11/2020,5.6,1
4278,28/11/2020,5.6,1
4278,29/11/2020,5.8,1
4278,30/11/2020,5.4,4
4278,01/12/2020,2.5,3
4278,02/12/2020,4.1,4
4278,03/12/2020,2.7,4
4278,04/12/2020,2.6,1
4278,05/12/2020,3.2,1
4278,06/12/2020,2,2
4278,07/12/2020,1,3
4278,08/12/2020,3.7,1
4278,09/12/2020,6,3
4278,11/12/2020,4.4,2
4278,12/12/2020,6.3,2
4278,14/12/2020,3.3,2
4278,15/12/2020,1.5,2
4278,16/12/2020,4.7,1
4278,17/12/2020,4.1,2
4278,18/12/2020,5.9,1
4278,20/12/2020,1.9,1
4278,21/12/2020,2.1,2
4278,22/12/2020,1.8,1
4278,23/12/2020,1.2,3
4278,24/12/2020,1,1
4278,26/12/2020,3.7,2
4278,27/12/2020,2.4,1
4278,28/12/2020,5.8,2
4278,29/12/2020,3.8,3
4278,30/12/2020,4.1,2
4278,31/12/2020,4.9,1
4278,01/01/2021,2.8,4
4278,03/01/2021,3.4,2
4278,04/01/2021,2.8,3
4278,05/01/2021,5.6,1
4278,06/01/2021,4.1,2
4278,07/01/2021,3.6,3
4278,08/01/2021,6.6,1
4278,09/01/2021,8,3
4278,11/01/2021,6.7,2
4278,12/01/2021,8.3,2
4278,14/01/2021,5.5,2
4278,15/01/2021,4.3,2
4278,16/01/2021,6.9,1
4278,17/01/2021,6.9,2
4278,18/01/2021,8.3,1
4542,27/11/2020,1.4,1
4542,28/11/2020,1.6,3
4542,29/11/2020,6.2,3
4542,01/12/2020,6.3,2
4542,02/12/2020,1.9,3
4542,03/12/2020,1.5,2
4542,04/12/2020,6,2
4542,05/12/2020,3.1,1
4542,06/12/2020,5.8,3
4542,08/12/2020,1.9,1
4542,09/12/2020,2.5,2
4542,10/12/2020,4.8,2
4542,12/12/2020,6.1,2
4542,13/12/2020,2.8,4
4542,15/12/2020,4.5,3
4542,17/12/2020,5.2,1
4542,19/12/2020,3.6,1
4542,20/12/2020,3.8,1
4542,21/12/2020,6.5,2
4542,22/12/2020,2.5,1
4542,23/12/2020,5.2,2
4542,24/12/2020,5.8,1
4542,25/12/2020,5.4,1
4542,26/12/2020,2,4
4542,27/12/2020,3.9,2
4542,28/12/2020,6.3,1
4542,29/12/2020,3.5,2
4542,30/12/2020,4.4,1
4542,31/12/2020,4.2,3
4542,01/01/2021,6.5,1
4542,03/01/2021,3.8,3
4542,04/01/2021,5.7,1
4542,05/01/2021,15.0,6
4542,06/01/2021,10.0,6
4542,08/01/2021,12.0,6
4542,09/01/2021,15.0,4
4542,10/01/2021,15.0,6
4542,12/01/2021,14.0,4
4542,13/01/2021,12.0,5
4542,15/01/2021,10.0,4
4542,17/01/2021,12.0,6
7033,27/11/2020,6.4,1
7033,28/11/2020,4.3,3
7033,29/11/2020,5,3
7033,30/11/2020,1.9,3
